rank,title,Previous Rank,Revenues (USDM),Revenue Change,Profits (USDM),Profit Change,Assets (USDM),Mkt Value as of 3/29/18 (USDM),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
222,PayPal Holdings,264,"USD13,094 ",20.80%,"USD1,795.00 ",28.10%,"USD40,774 ","USD91,056 ","18,700",Daniel H. Schulman,"President, Chief Executive Officer &amp;  Director",Business Services,Financial Data Services,3,San Jose,CA,37.3382082,-121.8863286
223,NGL Energy Partners,237,"USD13,022 ",10.90%,USD137.00 ,-,"USD6,320 ","USD1,332 ","2,700",H. Michael Krimbill,Chief Executive Officer &amp;  Director,Energy,Energy,4,Tulsa,OK,36.1539816,-95.992775
224,Celgene,254,"USD13,003 ",15.80%,"USD2,940.00 ",47.10%,"USD30,141 ","USD67,102 ","7,467",Mark J. Alles,Chairman &amp;  Chief Executive Officer,Health Care,Pharmaceuticals,7,Summit,NJ,40.7146376,-74.3646122
225,Arconic,228,"USD12,960 ",4.60%,(USD74.00),-,"USD18,718 ","USD11,124 ","41,500",Charles P. Blankenship,Chairman &amp;  Chief Executive Officer,Aerospace &amp;  Defense,Aerospace and Defense,24,New York,NY,40.7127753,-74.0059728
226,Kellogg,216,"USD12,923 ",-0.70%,"USD1,269.00 ",82.90%,"USD16,350 ","USD22,532 ","32,944",Steven A. Cahillane,"Chairman, President &amp;  Chief Executive Officer","Food, Beverages &amp;  Tobacco",Food Consumer Products,24,Battle Creek,MI,42.3211522,-85.1797142
227,Las Vegas Sands,249,"USD12,882 ",12.90%,"USD2,806.00 ",68.00%,"USD20,687 ","USD56,721 ","50,500",Sheldon G. Adelson,Chairman &amp;  Chief Executive Officer,"Hotels, Restaurants &amp;  Leisure","Hotels, Casinos, Resorts",9,Las Vegas,NV,36.1699412,-115.1398296
228,Stanley Black &amp; Decker,250,"USD12,747 ",11.70%,"USD1,226.00 ",27.00%,"USD19,080 ","USD23,610 ","57,765",James M. Loree,"President, Chief Executive Officer &amp;  Director",Household Products,"Home Equipment, Furnishings",11,New Britain,CT,41.6612104,-72.7795419
229,Booking Holdings,268,"USD12,681 ",18.00%,"USD2,340.80 ",9.60%,"USD25,451 ","USD100,459 ","22,900",Glenn D. Fogel,"President, Chief Executive Officer &amp;  Director",Technology,Internet Services and Retailing,6,Norwalk,CT,41.117744,-73.4081575
230,Lennar,260,"USD12,646 ",15.50%,USD810.50 ,-11.10%,"USD18,745 ","USD18,738 ","9,111",Richard Beckwitt,Chief Executive Officer &amp;  Director,Engineering &amp;  Construction,Homebuilders,14,Miami,FL,25.7616798,-80.1917902
231,L Brands,220,"USD12,632 ",0.50%,USD983.00 ,-15.10%,"USD8,149 ","USD10,655 ","59,200",Leslie H. Wexner,"Chairman, President &amp;  Chief Executive Officer",Retailing,Specialty Retailers: Apparel,24,Columbus,OH,39.9611755,-82.9987942
232,DTE Energy,272,"USD12,607 ",18.60%,"USD1,134.00 ",30.60%,"USD33,767 ","USD18,760 ","10,200",Gerard M. Anderson,Chairman &amp;  Chief Executive Officer,Energy,Utilities: Gas and Electric,24,Detroit,MI,42.331427,-83.0457538
233,Dominion Energy,238,"USD12,586 ",7.20%,"USD2,999.00 ",41.30%,"USD76,585 ","USD45,344 ",16200,Thomas F. Farrell II,"Chairman, President &amp;  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Richmond,VA,37.5407246,-77.4360481
234,Reinsurance Group of America,246,"USD12,516 ",8.60%,"USD1,822.20 ",159.80%,"USD60,515 ","USD9,930 ","2,640",Anna Manning,"President, Chief Executive Officer &amp;  Director",Financials,"Insurance: Life, Health (stock)",9,Chesterfield,MO,38.6631083,-90.5770675
235,J.C. Penney,221,"USD12,506 ",-0.30%,(USD116.00),-11700.00%,"USD8,413 ",USD943 ,"98,000",Jeffrey A. Davis/Joseph M. McFarland/Therace M. Risch,Chairman &amp;  Chief Executive Officer,Retailing,General Merchandisers,24,Plano,TX,33.0198431,-96.6988856
236,Mastercard,267,"USD12,497 ",16.00%,"USD3,915.00 ",-3.50%,"USD21,329 ","USD184,161 ","13,400",Ajay Banga,"President, Chief Executive Officer &amp;  Director",Business Services,Financial Data Services,10,Harrison,NY,41.0400135,-73.7144477
237,BlackRock,255,"USD12,491 ",12.00%,"USD4,970.00 ",56.70%,"USD220,217 ","USD87,065 ","13,900",Laurence D. Fink,Chairman &amp;  Chief Executive Officer,Financials,Securities,11,New York,NY,40.7127753,-74.0059728
238,Henry Schein,243,"USD12,462 ",7.70%,USD406.30 ,-19.80%,"USD7,811 ","USD10,330 ","22,000",Stanley M. Bergman,Chairman &amp;  Chief Executive Officer,Wholesalers,Wholesalers: Health Care,15,Melville,NY,40.7934322,-73.4151214
239,Guardian Life Ins. Co. of America,218,"USD12,455 ",-3.60%,USD455.30 ,72.50%,"USD75,038 ",-,"9,283",Deanna M. Mulligan,"President, Chief Executive Officer &amp;  Director",Financials,"Insurance: Life, Health (Mutual)",24,New York,NY,40.7127753,-74.0059728
240,Stryker,252,"USD12,444 ",9.90%,"USD1,020.00 ",-38.10%,"USD22,197 ","USD60,041 ","33,000",Kevin A. Lobo,Chairman &amp;  Chief Executive Officer,Health Care,Medical Products and Equipment,16,Kalamazoo,MI,42.2917069,-85.5872286
241,Jefferies Financial Group,262,"USD12,408 ",14.10%,USD171.70 ,32.10%,"USD47,169 ","USD8,098 ","12,700",Richard B. Handler,Chairman &amp;  Chief Executive Officer,Financials,Diversified Financials,6,New York,NY,40.7127753,-74.0059728
242,VF,230,"USD12,400 ",1.60%,USD614.90 ,-42.80%,"USD9,959 ","USD29,403 ","69,000",Steven E. Rendle,"Chairman, President &amp;  Chief Executive Officer",Apparel,Apparel,24,Greensboro,NC,36.0726354,-79.7919754
243,ADP,240,"USD12,380 ",6.10%,"USD1,733.40 ",16.10%,"USD37,180 ","USD50,302 ","58,000",Carlos A. Rodriguez,"President, Chief Executive Officer &amp;  Director",Business Services,Diversified Outsourcing Services,24,Roseland,NJ,40.8206555,-74.2937594
244,Edison International,235,"USD12,320 ",3.80%,USD565.00 ,-56.90%,"USD52,580 ","USD20,741 ","12,521",Pedro J. Pizarro,"President, Chief Executive Officer &amp;  Director",Energy,Utilities: Gas and Electric,24,Rosemead,CA,34.0805651,-118.072846
245,Biogen,248,"USD12,274 ",7.20%,"USD2,539.10 ",-31.40%,"USD23,653 ","USD57,930 ","7,300",Michel Vounatsos,Chairman &amp;  Chief Executive Officer,Health Care,Pharmaceuticals,9,Cambridge,MA,42.3736158,-71.1097335
246,United States Steel,279,"USD12,250 ",19.40%,USD387.00 ,-,"USD9,862 ","USD6,200 ","29,200",David B. Burritt,"President, Chief Executive Officer &amp;  Director",Materials,Metals,16,Pittsburgh,PA,40.4406248,-79.9958864
247,Core-Mark Holding,247,"USD12,225 ",6.20%,USD33.50 ,-38.20%,"USD1,783 ",USD981 ,"8,413",Thomas B. Perkins,Chairman &amp;  Chief Executive Officer,Wholesalers,Wholesalers: Food and Grocery,9,South San Francisco,CA,37.654656,-122.4077498
248,Bed Bath &amp; Beyond,233,"USD12,216 ",0.90%,USD685.10 ,-18.60%,"USD6,846 ","USD2,989 ","65,000",Steven H. Temares,Chief Executive Officer &amp;  Director,Retailing,Specialty Retailers: Other,15,Union,NJ,40.6975898,-74.2631635
249,Oneok,312,"USD12,174 ",36.50%,USD387.80 ,10.20%,"USD16,846 ","USD23,373 ","2,470",Terry K. Spencer,"President, Chief Executive Officer &amp;  Director",Energy,Pipelines,16,Tulsa,OK,36.1539816,-95.992775
250,BB&amp; T Corp.,245,"USD12,156 ",5.40%,"USD2,394.00 ",-1.30%,"USD221,642 ","USD40,454 ","36,484",Kelly S. King,Chairman &amp;  Chief Executive Officer,Financials,Commercial Banks,20,Winston-Salem,NC,36.0998596,-80.244216
251,Becton Dickinson,225,"USD12,093 ",-3.10%,"USD1,100.00 ",12.70%,"USD37,734 ","USD57,695 ","41,933",Vincent A. Forlenza,Chairman &amp;  Chief Executive Officer,Health Care,Medical Products and Equipment,24,Franklin Lakes,NJ,41.0167639,-74.2057011
252,Ameriprise Financial,239,"USD12,075 ",2.90%,"USD1,480.00 ",12.60%,"USD147,470 ","USD21,613 ","13,312",James M. Cracchiolo,Chairman &amp;  Chief Executive Officer,Financials,Diversified Financials,12,Minneapolis,MN,44.977753,-93.2650108
253,Farmers Insurance Exchange,222,"USD12,072 ",-3.50%,(USD65.40),-,"USD16,165 ",-,"13,015",Jeffrey J. Dailey,"President, Chief Executive Officer &amp;  Director",Financials,Insurance: Property and Casualty (Mutual),4,Los Angeles,CA,34.165357,-118.6089752
254,First Data,242,"USD12,052 ",4.00%,"USD1,465.00 ",248.80%,"USD48,269 ","USD14,865 ","22,000",Frank J. Bisignano,Chairman &amp;  Chief Executive Officer,Business Services,Financial Data Services,24,New York,NY,40.7127753,-74.0059728
255,Consolidated Edison,234,"USD12,033 ",-0.30%,"USD1,525.00 ",22.50%,"USD48,111 ","USD24,192 ","15,591",John McAvoy,"Chairman, President &amp;  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,New York,NY,40.7127753,-74.0059728
256,Parker-Hannifin,251,"USD12,029 ",5.90%,USD983.40 ,21.90%,"USD15,490 ","USD22,755 ","56,690",Thomas L. Williams,Chairman &amp;  Chief Executive Officer,Industrials,Industrial Machinery,24,Cleveland,OH,41.49932,-81.6943605
257,Anadarko Petroleum,344,"USD11,908 ",51.30%,(USD456.00),-,"USD42,086 ","USD31,131 ","4,400",R. A. Walker,"Chairman, President &amp;  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",18,The Woodlands,TX,30.1658207,-95.4612625
258,Estee Lauder,253,"USD11,824 ",5.00%,"USD1,249.00 ",12.10%,"USD11,568 ","USD55,064 ","46,000",Fabrizio Freda,"President, Chief Executive Officer &amp;  Director",Household Products,Household and Personal Products,23,New York,NY,40.7127753,-74.0059728
259,State Street Corp.,271,"USD11,774 ",10.70%,"USD2,177.00 ",1.60%,"USD238,425 ","USD36,688 ","36,643",Joseph L. Hooley,Chairman &amp;  Chief Executive Officer,Financials,Commercial Banks,23,Boston,MA,42.3600825,-71.0588801
260,Tesla,383,"USD11,759 ",68.00%,"(USD1,961.40)",-,"USD28,655 ","USD44,955 ","37,543",Elon Musk,Chairman &amp;  Chief Executive Officer,Motor Vehicles &amp;  Parts,Motor Vehicles and Parts,2,Palo Alto,CA,37.4418834,-122.1430195
261,Netflix,314,"USD11,693 ",32.40%,USD558.90 ,199.40%,"USD19,013 ","USD128,167 ","5,100",Reed Hastings,"Chairman, President &amp;  Chief Executive Officer",Technology,Internet Services and Retailing,4,Los Gatos,CA,37.2358078,-121.9623751
262,Alcoa,300,"USD11,652 ",25.00%,USD217.00 ,-,"USD17,447 ","USD8,372 ","14,600",Roy C. Harvey,"President, Chief Executive Officer &amp;  Director",Materials,Metals,2,Pittsburgh,PA,40.4406248,-79.9958864
263,Discover Financial Services,277,"USD11,545 ",10.00%,"USD2,099.00 ",-12.30%,"USD100,087 ","USD25,431 ","16,500",David W. Nelms,Chairman &amp;  Chief Executive Officer,Financials,Commercial Banks,10,Riverwoods,IL,42.1675254,-87.897014
264,Praxair,275,"USD11,437 ",8.60%,"USD1,247.00 ",-16.90%,"USD20,436 ","USD41,434 ","26,461",Stephen F. Angel,Chairman &amp;  Chief Executive Officer,Chemicals,Chemicals,24,Danbury,CT,41.394817,-73.4540111
265,CSX,257,"USD11,408 ",3.10%,"USD5,471.00 ",219.20%,"USD35,739 ","USD49,428 ","24,006",James M. Foote,"President, Chief Executive Officer &amp;  Director",Transportation,Railroads,24,Jacksonville,FL,30.3321838,-81.655651
266,Xcel Energy,256,"USD11,404 ",2.70%,"USD1,148.00 ",2.20%,"USD43,030 ","USD23,107 ","11,105",Benjamin G.S. Fowke III,"Chairman, President &amp;  Chief Executive Officer",Energy,Utilities: Gas and Electric,22,Minneapolis,MN,44.977753,-93.2650108
267,Unum Group,258,"USD11,287 ",2.20%,USD994.20 ,6.70%,"USD64,013 ","USD10,530 ","9,400",Richard P. McKenney,"President, Chief Executive Officer &amp;  Director",Financials,"Insurance: Life, Health (stock)",23,Chattanooga,TN,35.0456297,-85.3096801
268,Universal Health Services,276,"USD11,279 ",7.30%,USD752.30 ,7.10%,"USD10,762 ","USD11,163 ","72,300",Alan B. Miller,Chairman &amp;  Chief Executive Officer,Health Care,Health Care: Medical Facilities,15,King of Prussia,PA,40.1012856,-75.3835525
269,NRG Energy,229,"USD11,275 ",-8.70%,"(USD2,153.00)",-,"USD23,318 ","USD9,698 ","5,940",Mauricio Gutierrez,"President, Chief Executive Officer &amp;  Director",Energy,Energy,12,Princeton,NJ,40.3572976,-74.6672226
270,EOG Resources,356,"USD11,208 ",46.50%,"USD2,582.60 ",-,"USD29,833 ","USD60,913 ","2,664",William R. Thomas,Chairman &amp;  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",10,Houston,TX,29.7604267,-95.3698028
271,Sempra Energy,280,"USD11,207 ",10.10%,USD256.00 ,-81.30%,"USD50,454 ","USD29,351 ","16,046",J. Walker Martin,Chairman &amp;  Chief Executive Officer,Energy,Utilities: Gas and Electric,20,San Diego,CA,32.715738,-117.1610838
272,Toys 'R'� Us,244,"USD11,146 ",-3.40%,(USD612.00),-,"USD7,262 ",-,"65,000",David A. Brandon,Chairman &amp;  Chief Executive Officer,Retailing,Specialty Retailers: Other,24,Wayne,NJ,40.9253725,-74.2765441
273,Group 1 Automotive,261,"USD11,124 ",2.20%,USD213.40 ,45.10%,"USD4,871 ","USD1,366 ","14,108",Earl J. Hesterberg,"President, Chief Executive Officer &amp;  Director",Retailing,"Automotive Retailing, Services",18,Houston,TX,29.7604267,-95.3698028
274,Entergy,263,"USD11,075 ",2.10%,USD411.60 ,-,"USD46,707 ","USD14,298 ","13,504",Leo P. Denault,Chairman &amp;  Chief Executive Officer,Energy,Utilities: Gas and Electric,24,New Orleans,LA,29.9510658,-90.0715323
275,Molson Coors Brewing,522,"USD11,003 ",125.20%,"USD1,414.20 ",-28.40%,"USD30,247 ","USD16,238 ","17,200",Mark R. Hunter,"President, Chief Executive Officer &amp;  Director","Food, Beverages &amp;  Tobacco",Beverages,8,Denver,CO,39.7392358,-104.990251
276,L3 Technologies,273,"USD11,002 ",3.80%,USD677.00 ,-4.60%,"USD12,729 ","USD16,283 ","38,000",Christopher E. Kubasik,"President, Chief Executive Officer &amp;  Director",Aerospace &amp;  Defense,Aerospace and Defense,16,New York,NY,40.7127753,-74.0059728
277,Ball,306,"USD10,983 ",21.20%,USD374.00 ,42.20%,"USD17,169 ","USD13,920 ","18,300",John A. Hayes,"Chairman, President &amp;  Chief Executive Officer",Materials,"Packaging, Containers",22,Broomfield,CO,39.9205411,-105.0866504
278,AutoZone,270,"USD10,889 ",2.40%,"USD1,280.90 ",3.20%,"USD9,260 ","USD17,450 ","70,035",William C. Rhodes III,"Chairman, President &amp;  Chief Executive Officer",Retailing,Specialty Retailers: Other,20,Memphis,TN,35.1495343,-90.0489801
279,Murphy USA,291,"USD10,853 ",12.70%,USD245.30 ,10.70%,"USD2,331 ","USD2,440 ","6,900",R. Andrew Clyde,"President, Chief Executive Officer &amp;  Director",Retailing,Specialty Retailers: Other,5,El Dorado,AR,33.20763,-92.6662674
280,MGM Resorts International,297,"USD10,774 ",13.90%,"USD1,960.30 ",78.00%,"USD29,159 ","USD19,844 ","68,500",James J. Murren,Chairman &amp;  Chief Executive Officer,"Hotels, Restaurants &amp;  Leisure","Hotels, Casinos, Resorts",18,Las Vegas,NV,36.1699412,-115.1398296
281,Office Depot,203,"USD10,752 ",-20.90%,USD181.00 ,-65.80%,"USD6,323 ","USD1,195 ","45,000",Gerry P. Smith,Chairman &amp;  Chief Executive Officer,Retailing,Specialty Retailers: Other,24,Boca Raton,FL,26.3683064,-80.1289321
282,Huntsman,289,"USD10,592 ",9.70%,USD636.00 ,95.10%,"USD10,244 ","USD7,090 ","10,000",Peter R. Huntsman,"Chairman, President &amp;  Chief Executive Officer",Chemicals,Chemicals,13,The Woodlands,TX,30.1658207,-95.4612625
283,Baxter International,281,"USD10,561 ",3.90%,USD717.00 ,-85.60%,"USD17,111 ","USD34,979 ","47,000",Jos� E. Almeida,"Chairman, President &amp;  Chief Executive Officer",Health Care,Medical Products and Equipment,24,Deerfield,IL,42.1711365,-87.8445119
284,Norfolk Southern,284,"USD10,551 ",6.70%,"USD5,404.00 ",224.00%,"USD35,711 ","USD41,226 ","27,110",James A. Squires,"Chairman, President &amp;  Chief Executive Officer",Transportation,Railroads,24,Norfolk,VA,36.8507689,-76.2858726
285,salesforce.com,326,"USD10,480 ",24.90%,USD127.50 ,-29.00%,"USD21,010 ","USD85,074 ","29,000",Marc R. Benioff,Chairman &amp;  Chief Executive Officer,Technology,Computer Software,4,SF,CA,37.7749295,-122.4194155
286,Laboratory Corp. of America,290,"USD10,441 ",8.30%,"USD1,268.20 ",73.20%,"USD16,568 ","USD16,482 ","60,000",David P. King,"Chairman, President &amp;  Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,9,Burlington,NC,36.0956918,-79.4377991
287,W.W. Grainger,282,"USD10,425 ",2.80%,USD585.70 ,-3.30%,"USD5,804 ","USD15,823 ","25,050",Donald G. MacPherson,Chairman &amp;  Chief Executive Officer,Wholesalers,Wholesalers: Diversified,24,Lake Forest,IL,42.2586342,-87.840625
288,Qurate Retail,269,"USD10,404 ",-2.30%,"USD2,441.00 ",97.70%,"USD24,122 ","USD12,587 ","28,255",Gregory B. Maffei,Chairman,Retailing,Internet Services and Retailing,14,Englewood,CO,39.6477653,-104.9877597
289,Autoliv,283,"USD10,383 ",3.10%,USD427.10 ,-24.70%,"USD8,550 ","USD12,710 ","67,352",Jan Carlson,"Chairman, President &amp;  Chief Executive Officer",Motor Vehicles &amp;  Parts,Motor Vehicles and Parts,20,Auburn Hills,MI,42.6875323,-83.2341028
290,Live Nation Entertainment,330,"USD10,337 ",23.70%,(USD6.00),-304.50%,"USD7,504 ","USD8,772 ","15,050",Michael Rapino,"President, Chief Executive Officer &amp;  Director",Media,Entertainment,9,Beverly Hills,CA,34.0736204,-118.4003563
291,Xerox,162,"USD10,265 ",-40.10%,USD195.00 ,-,"USD15,946 ","USD7,330 ","36,100",John Visentin,Chairman &amp;  Chief Executive Officer,Technology,"Computers, Office Equipment",24,Norwalk,CT,41.117744,-73.4081575
292,Leidos Holdings,381,"USD10,170 ",44.40%,USD366.00 ,50.00%,"USD8,990 ","USD9,918 ","31,000",Roger A. Krone,Chairman &amp;  Chief Executive Officer,Technology,Information Technology Services,18,Reston,VA,38.9586307,-77.3570028
293,Corning,298,"USD10,116 ",7.70%,(USD497.00),-113.50%,"USD27,494 ","USD23,677 ","46,200",Wendell P. Weeks,"Chairman, President &amp;  Chief Executive Officer",Industrials,"Electronics, Electrical Equip.",23,Corning,NY,42.1428521,-77.0546903
294,Lithia Motors,318,"USD10,087 ",16.20%,USD245.20 ,24.40%,"USD4,683 ","USD2,515 ","12,899",Bryan B. DeBoer,"President, Chief Executive Officer &amp;  Director",Retailing,"Automotive Retailing, Services",4,Medford,OR,42.3265152,-122.8755949
295,Expedia Group,317,"USD10,060 ",14.70%,USD378.00 ,34.10%,"USD18,516 ","USD16,764 ","22,615",Mark D. Okerstrom,"President, Chief Executive Officer &amp;  Director",Retailing,Internet Services and Retailing,4,Bellevue,WA,47.6101497,-122.2015159
296,Republic Services,299,"USD10,042 ",7.00%,"USD1,278.40 ",108.70%,"USD21,147 ","USD21,832 ","35,000",Donald W. Slager,"President, Chief Executive Officer &amp;  Director",Business Services,Waste Management,9,Phoenix,AZ,33.4483771,-112.0740373
297,Jacobs Engineering Group,259,"USD10,023 ",-8.60%,USD293.70 ,39.60%,"USD7,381 ","USD8,380 ","49,750",Steven J. Demetriou,"Chairman, President &amp;  Chief Executive Officer",Engineering &amp;  Construction,"Engineering, Construction",18,Dallas,TX,32.7766642,-96.7969879
298,Sonic Automotive,287,"USD9,867 ",1.40%,USD93.00 ,-0.20%,"USD3,819 ",USD804 ,"9,750",B. Scott Smith,"President, Chief Executive Officer &amp;  Director",Retailing,"Automotive Retailing, Services",19,Charlotte,NC,35.2270869,-80.8431267
299,Ally Financial,286,"USD9,866 ",0.30%,USD929.00 ,-12.90%,"USD167,148 ","USD11,767 ","7,900",Jeffrey J. Brown,Chairman &amp;  Chief Executive Officer,Financials,Diversified Financials,11,Detroit,MI,42.331427,-83.0457538
300,LKQ,304,"USD9,848 ",8.40%,USD533.70 ,15.00%,"USD9,367 ","USD11,750 ","43,000",Dominick P. Zarcone,"President, Chief Executive Officer &amp;  Director",Wholesalers,Wholesalers: Diversified,5,Chicago,IL,41.8781136,-87.6297982
301,BorgWarner,305,"USD9,799 ",8.00%,USD439.90 ,271.20%,"USD9,788 ","USD10,586 ","29,000",James R. Verrier,"President, Chief Executive Officer &amp;  Director",Motor Vehicles &amp;  Parts,Motor Vehicles and Parts,12,Auburn Hills,MI,42.6875323,-83.2341028
302,Fidelity National Financial,293,"USD9,769 ",2.30%,USD771.00 ,18.60%,"USD9,151 ","USD10,983 ","24,525",Raymond R. Quirk,Chairman &amp;  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),11,Jacksonville,FL,30.3321838,-81.655651
303,SunTrust Banks,303,"USD9,741 ",6.30%,"USD2,273.00 ",21.00%,"USD205,962 ","USD31,863 ","23,785",William H. Rogers Jr.,Chairman &amp;  Chief Executive Officer,Financials,Commercial Banks,24,Atlanta,GA,33.7489954,-84.3879824
304,IQVIA Holdings,390,"USD9,739 ",41.60%,"USD1,309.00 ",1038.30%,"USD22,742 ","USD20,433 ",55000,Ari Bousbib,"Chairman, President &amp;  Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,5,Durham,NC,35.980513,-78.90511
305,Reliance Steel &amp; Aluminum,320,"USD9,721 ",12.90%,USD613.40 ,101.60%,"USD7,751 ","USD6,244 ","14,900",Gregg J. Mollins,"President, Chief Executive Officer &amp;  Director",Materials,Metals,12,Los Angeles,CA,34.0522342,-118.2436849
306,Nvidia,387,"USD9,714 ",40.60%,"USD3,047.00 ",82.90%,"USD11,241 ","USD140,112 ","11,528",Jen-Hsun Huang,"President, Chief Executive Officer &amp;  Director",Technology,Semiconductors and Other Electronic Components,2,Santa Clara,CA,37.3541079,-121.9552356
307,Voya Financial,266,"USD9,660 ",-10.40%,"(USD2,992.00)",-,"USD222,532 ","USD8,686 ","6,300",Rodney O. Martin Jr.,Chairman &amp;  Chief Executive Officer,Financials,Diversified Financials,4,New York,NY,40.7127753,-74.0059728
308,CenterPoint Energy,362,"USD9,614 ",27.70%,"USD1,792.00 ",314.80%,"USD22,736 ","USD11,822 ","7,977",Scott M. Prochazka,"President, Chief Executive Officer &amp;  Director",Energy,Utilities: Gas and Electric,24,Houston,TX,29.7604267,-95.3698028
309,eBay,310,"USD9,567 ",6.50%,"(USD1,016.00)",-114.00%,"USD25,981 ","USD40,726 ","14,100",Devin N. Wenig,"President, Chief Executive Officer &amp;  Director",Technology,Internet Services and Retailing,13,San Jose,CA,37.3382082,-121.8863286
310,Eastman Chemical,309,"USD9,549 ",6.00%,"USD1,384.00 ",62.10%,"USD15,999 ","USD15,073 ","14,000",Mark J. Costa,Chairman &amp;  Chief Executive Officer,Chemicals,Chemicals,24,Kingsport,TN,36.548434,-82.5618186
311,American Family Insurance Group,315,"USD9,545 ",8.10%,USD155.60 ,-52.20%,"USD24,233 ",-,"11,307",Jack C. Salzwedel,Chairman &amp;  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),22,Madison,WI,43.0730517,-89.4012302
312,Steel Dynamics,347,"USD9,539 ",22.70%,USD812.70 ,112.70%,"USD6,856 ","USD10,444 ","7,635",Mark D. Millett,"President, Chief Executive Officer &amp;  Director",Materials,Metals,9,Fort Wayne,IN,41.079273,-85.1393513
313,Pacific Life,302,"USD9,510 ",3.70%,"USD1,365.00 ",65.70%,"USD157,877 ",-,"3,578",James T. Morris,"Chairman, President &amp;  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",22,Newport Beach,CA,33.6188829,-117.9298493
314,Chesapeake Energy,343,"USD9,496 ",20.60%,USD949.00 ,-,"USD12,425 ","USD2,746 ","3,200",Robert D. Lawler,"President, Chief Executive Officer &amp;  Director",Energy,"Mining, Crude-Oil Production",13,Oklahoma City,OK,35.4675602,-97.5164276
315,Mohawk Industries,311,"USD9,491 ",5.90%,USD971.60 ,4.40%,"USD12,095 ","USD17,283 ","38,800",Jeffrey S. Lorberbaum,Chairman &amp;  Chief Executive Officer,Household Products,"Home Equipment, Furnishings",19,Calhoun,GA,34.502587,-84.9510542
316,Quanta Services,355,"USD9,467 ",23.70%,USD315.00 ,58.80%,"USD6,480 ","USD5,281 ","32,800",Earl C. Austin Jr.,"President, Chief Executive Officer &amp;  Director",Engineering &amp;  Construction,"Engineering, Construction",6,Houston,TX,29.7604267,-95.3698028
317,Advance Auto Parts,292,"USD9,374 ",-2.00%,USD475.50 ,3.50%,"USD8,482 ","USD8,770 ","55,500",Thomas R. Greco,"President, Chief Executive Officer &amp;  Director",Retailing,Specialty Retailers: Other,16,Roanoke,VA,37.2709704,-79.9414266
318,Owens &amp; Minor,288,"USD9,318 ",-4.20%,USD72.80 ,-33.10%,"USD3,376 ",USD961 ,"8,600",P. Cody Phipps,"Chairman, President &amp;  Chief Executive Officer",Wholesalers,Wholesalers: Health Care,24,Mechanicsville,VA,37.6087561,-77.3733139
319,United Natural Foods,325,"USD9,275 ",9.50%,USD130.20 ,3.50%,"USD2,887 ","USD2,165 ","9,700",Steven L. Spinner,"Chairman, President &amp;  Chief Executive Officer",Wholesalers,Wholesalers: Food and Grocery,6,Providence,RI,41.8239891,-71.4128343
320,Tenneco,322,"USD9,274 ",7.80%,USD207.00 ,-41.90%,"USD4,842 ","USD2,822 ","32,000",Brian J. Kesseler,Chief Executive Officer &amp;  Director,Motor Vehicles &amp;  Parts,Motor Vehicles and Parts,24,Lake Forest,IL,42.2586342,-87.840625
321,Conagra Brands,197,"USD9,235 ",-34.70%,USD639.30 ,-,"USD10,096 ","USD14,776 ","12,600",Sean M. Connolly,"President, Chief Executive Officer &amp;  Director","Food, Beverages &amp;  Tobacco",Food Consumer Products,24,Chicago,IL,41.8781136,-87.6297982
322,GameStop,321,"USD9,225 ",7.20%,USD34.70 ,-90.20%,"USD5,042 ","USD1,279 ","39,500",Shane S. Kim,Interim Chief Executive Officer,Retailing,Specialty Retailers: Other,12,Grapevine,TX,32.9342919,-97.0780654
323,Hormel Foods,295,"USD9,168 ",-3.70%,USD846.70 ,-4.90%,"USD6,976 ","USD18,174 ","20,200",James P. Snee,"Chairman, President &amp;  Chief Executive Officer","Food, Beverages &amp;  Tobacco",Food Consumer Products,24,Austin,MN,43.6666296,-92.9746367
324,Hilton Worldwide Holdings,241,"USD9,140 ",-21.60%,"USD1,259.00 ",261.80%,"USD14,308 ","USD24,957 ","163,000",Christopher J. Nassetta,"President, Chief Executive Officer &amp;  Director","Hotels, Restaurants &amp;  Leisure","Hotels, Casinos, Resorts",15,McLean,VA,38.9338676,-77.1772604
325,Frontier Communications,313,"USD9,128 ",2.60%,"(USD1,804.00)",-,"USD24,884 ",USD582 ,"22,736",Daniel J. McCarthy,"President, Chief Executive Officer &amp;  Director",Telecommunications,Telecommunications,5,Norwalk,CT,41.117744,-73.4081575
326,Fidelity National Information Services,301,"USD9,123 ",-1.30%,"USD1,319.00 ",132.20%,"USD24,517 ","USD31,893 ","53,000",Gary A. Norcross,"President, Chief Executive Officer &amp;  Director",Business Services,Financial Data Services,9,Jacksonville,FL,30.3321838,-81.655651
